Modelo,Qtd. Disciplinas,Qtd. Resumos,Qtd. Res. Testes,Tempo (s),Loss,Accuracy,Val. Loss,Val. Accuracy
Modelo 1,2,820,8,2082.58,0.4403,0.8022,0.0728,0.9878
Modelo 2,2,820,8,1540.92,0.0908,0.9603,0.5093,0.8875
